Freq.	V(out)
Step Information: Temp=-40  (Run: 1/3)
1.00000000000000e+001	(6.64726541675458e+001dB,1.78694140617017e+002°)
1.12201845430196e+001	(6.64720715950175e+001dB,1.78534866669284e+002°)
1.25892541179417e+001	(6.64713382907584e+001dB,1.78356185388182e+002°)
1.41253754462275e+001	(6.64704152914148e+001dB,1.78155739832560e+002°)
1.58489319246111e+001	(6.64692535829425e+001dB,1.77930890047511e+002°)
1.77827941003892e+001	(6.64677915203430e+001dB,1.77678680411287e+002°)
1.99526231496888e+001	(6.64659515921782e+001dB,1.77395803767347e+002°)
2.23872113856834e+001	(6.64636363676835e+001dB,1.77078562261933e+002°)
2.51188643150958e+001	(6.64607234266183e+001dB,1.76722824923200e+002°)
2.81838293126445e+001	(6.64570590270168e+001dB,1.76323982196537e+002°)
3.16227766016838e+001	(6.64524502132413e+001dB,1.75876897918113e+002°)
3.54813389233575e+001	(6.64466550062980e+001dB,1.75375859599455e+002°)
3.98107170553497e+001	(6.64393702515678e+001dB,1.74814528456118e+002°)
4.46683592150963e+001	(6.64302166292721e+001dB,1.74185891402808e+002°)
5.01187233627272e+001	(6.64187202668705e+001dB,1.73482218330315e+002°)
5.62341325190348e+001	(6.64042903422566e+001dB,1.72695029465796e+002°)
6.30957344480192e+001	(6.63861920522989e+001dB,1.71815079595918e+002°)
7.07945784384137e+001	(6.63635143750277e+001dB,1.70832368496456e+002°)
7.94328234724280e+001	(6.63351322239565e+001dB,1.69736190122206e+002°)
8.91250938133744e+001	(6.62996629489449e+001dB,1.68515236938392e+002°)
9.99999999999998e+001	(6.62554177726255e+001dB,1.67157780008434e+002°)
1.12201845430196e+002	(6.62003497787039e+001dB,1.65651949558172e+002°)
1.25892541179417e+002	(6.61320016081444e+001dB,1.63986143661043e+002°)
1.41253754462275e+002	(6.60474581589125e+001dB,1.62149592642120e+002°)
1.58489319246111e+002	(6.59433123063904e+001dB,1.60133101094639e+002°)
1.77827941003892e+002	(6.58156547233823e+001dB,1.57929974546379e+002°)
1.99526231496888e+002	(6.56601016648867e+001dB,1.55537110153903e+002°)
2.23872113856833e+002	(6.54718759728719e+001dB,1.52956188121046e+002°)
2.51188643150957e+002	(6.52459549392816e+001dB,1.50194844759004e+002°)
2.81838293126445e+002	(6.49772922862989e+001dB,1.47267648616571e+002°)
3.16227766016837e+002	(6.46611093137146e+001dB,1.44196656854959e+002°)
3.54813389233575e+002	(6.42932330654512e+001dB,1.41011326250279e+002°)
3.98107170553496e+002	(6.38704409566636e+001dB,1.37747615934204e+002°)
4.46683592150962e+002	(6.33907581820003e+001dB,1.34446253543187e+002°)
5.01187233627271e+002	(6.28536533644625e+001dB,1.31150317700357e+002°)
5.62341325190348e+002	(6.22600929248793e+001dB,1.27902461691172e+002°)
6.30957344480192e+002	(6.16124427120196e+001dB,1.24742200634858e+002°)
7.07945784384136e+002	(6.09142374756227e+001dB,1.21703666819041e+002°)
7.94328234724279e+002	(6.01698637162457e+001dB,1.18814112665477e+002°)
8.91250938133743e+002	(5.93842117876706e+001dB,1.16093259172324e+002°)
9.99999999999997e+002	(5.85623480738832e+001dB,1.13553415444212e+002°)
1.12201845430196e+003	(5.77092426264472e+001dB,1.11200180358678e+002°)
1.25892541179416e+003	(5.68295690171747e+001dB,1.09033495644503e+002°)
