Vin,Vout,PSRR,Iload|max,Iload|min,Cload,Iquiescent,Transient Duration,LDO Type,Wpass,Wdiff,Wload,gm_id,fp1_sim,phase_margin,loopgain,Iq_sim,Power,l1,l2,STATUS,RETRIES_USED
2.938962896,1.138962896,64.63987884,61.872556,1.624074562,0.86437315,15.2275251,0.5,External,217594.1783,4.375744364,26.77617529,21.57369615,44.66835922,45.42906211,70.63105463,7.73,22.71818319,0.18,0.18,OK,0
2.742860045,0.942860045,30.41168989,48.64594335,8.491983767,0.002911052,26.36424705,0.5,Internal,,,,,,,,,,,,FAILED,5
1.391272673,0.991272673,50.1413261,7.190930379,3.099098641,2.059318761,14.19990969,2,External,358.5200196,0.660168329,1.799469136,6.040816327,223.8721139,76.22349017,51.31082514,6.87,9.558043263,1.08,0.72,OK,0
1.32718193,0.92718193,33.99347564,28.14054973,6.33173112,0.001418054,64.67903667,0.5,Internal,1183.653968,0.483240505,1.360271906,5.346938776,10000,64.53856386,51.82933749,30.9,41.00992165,0.18,0.18,OK,0
1.119515478,0.919515478,69.31264066,81.79774807,2.218455077,0.578593359,71.58097239,2,External,852547.7755,469.7051359,1622.215126,21.75510204,251.1886432,56.20597338,66.24769202,104,116.4296097,1.26,0.72,OK,1
1.13661147,0.93661147,46.66389823,12.80140941,4.519545468,0.002640125,77.98252693,1,Internal,7819.5669,6.487209519,23.8172832,17.59183673,8912.509381,48.35312656,55.1437279,38.2,43.41855817,0.18,0.18,OK,0
1.362382499,0.962382499,30.62626585,42.90281486,5.0477872,0.004556352,93.39929792,2,Internal,,,,,,,,,,,,FAILED,5
1.397962231,0.997962231,33.91965725,7.035228001,3.927972977,0.004498096,34.42141286,0.5,Internal,350.7571271,0.298880066,0.858078507,6.040816327,6309.573445,54.40511152,46.08372503,16.9,23.6255617,0.18,0.18,OK,0
1.207025998,1.007025998,32.8184845,41.09886413,1.670955793,0.009881982,79.50202924,2,Internal,6337.616,1.91795092,6.129771992,10.73469388,354.8133892,75.53444046,53.33335081,39.5,47.67752692,0.18,0.18,OK,0
2.759652721,0.959652721,65.80351081,62.5661976,4.705203514,3.290277425,92.3463708,0.5,External,3030.379144,0.781826122,2.236387433,6.653061224,177.827941,46.3905054,66.70385647,44.2,121.9766503,0.18,0.18,OK,0
1.234835202,1.034835202,31.27116701,18.99420448,3.926649898,0.007566456,67.38017242,2,Internal,2689.518417,1.500484996,4.770408124,10.24489796,1778.27941,71.99706537,49.08405718,33.3,41.12001223,0.18,0.18,OK,0
1.241664478,1.041664478,69.43424191,85.64681331,3.886918085,1.256326107,33.04614905,2,External,892665.1636,216.8445805,949.7600164,21.75510204,112.2018454,55.35647552,66.56908159,49.1,60.96572585,1.26,0.9,OK,1
1.513198867,1.113198867,50.50838253,15.24968556,1.125716743,3.218411015,38.2920383,1,External,760.3073983,2.070936424,4.852519668,6.040816327,281.8382931,73.80349727,51.90960856,18.8,28.4481387,1.26,0.72,OK,0
1.174787669,0.974787669,60.79682183,24.29081635,4.771414282,3.034440786,72.53064397,1,External,,,,,,,,,,,,FAILED,5
1.342436114,1.142436114,32.1098852,25.54405567,2.965963935,0.00474859,89.4952233,1,Internal,3773.463603,2.074436063,6.610284837,10.48979592,1778.27941,72.6296276,51.50475497,44.8,60.1411379,0.18,0.18,OK,0
2.96882739,1.16882739,68.13656883,30.85256369,3.590760482,0.102549847,41.73119707,2,External,157589.4475,14.82748961,106.5777929,22,158.4893192,48.06859809,70.76839571,21.1,62.64225793,0.18,0.18,OK,0
2.749396756,0.949396756,58.34822006,26.10024199,1.479461469,1.75431434,94.86187335,1,External,1264.159115,0.803122959,2.297306322,6.653061224,141.2537545,68.48212415,66.69905963,45.2,124.2727334,0.18,0.18,OK,0
1.255637187,1.055637187,38.07672342,7.92015112,3.285238725,0.003221885,72.66738456,2,Internal,1733.946872,2.418974241,7.954481059,12.69387755,5623.413252,63.59260858,49.46735005,35.9,45.077375,0.18,0.18,OK,0
1.144426079,0.944426079,55.33562029,97.7784208,2.644148053,0.261948591,41.05641232,0.5,External,106818.8094,11.46280042,53.14485829,19.55102041,707.9457844,45.09131648,59.56102522,20.1,23.00296419,0.36,0.36,OK,0
1.304211635,1.104211635,59.78905521,98.63679314,1.968221086,3.393464182,78.54576538,2,External,,,,,,,,,,,,FAILED,5
1.318464905,1.118464905,62.64611661,65.18532252,3.143098736,0.542419873,85.1772246,2,External,679402.5878,227.1212384,915.3588162,21.75510204,501.1872336,45.92814157,63.60358423,126,166.126578,0.54,0.36,OK,1
2.908743842,1.108743842,41.81785886,35.49039628,1.14929046,0.005608838,30.38461977,2,Internal,,,,,,,,,,,,FAILED,5
2.982156979,1.182156979,48.73459977,11.18844249,4.069597159,0.002021262,93.22242565,1,Internal,75.13810719,0.16150554,0.313026439,1.537414966,1584.893192,54.17885814,57.2478978,46.1,137.4774367,0.18,0.18,OK,0
1.377382488,0.977382488,49.64336687,28.24861511,3.347462573,0.009966283,96.88774162,0.5,Internal,3114.081052,1.705632144,5.340372957,9.857142857,562.3413252,64.66657525,60.45806131,47.4,65.28792995,0.18,0.18,OK,0
2.964790903,1.164790903,56.78059582,38.17490959,3.903822715,4.495840274,89.83777818,0.5,External,518.1981987,0.284150042,0.609743092,2.816326531,63.09573445,87.63797046,58.53088311,43.8,129.8578415,0.18,0.18,OK,0
1.355278535,1.155278535,33.23257428,45.43493848,6.457861537,0.001082773,19.13243886,2,Internal,,,,,,,,,,,,FAILED,5
1.301518475,0.901518475,60.97467579,70.73004378,3.607845038,1.198919616,74.09612992,0.5,External,,,,,,,,,,,,FAILED,5
2.797619909,0.997619909,44.41879849,18.86273563,5.882862075,0.005579327,67.26993564,1,Internal,106.2653399,0.094971175,0.189486369,1.111111111,794.3282347,51.85238328,57.54595076,33,92.32145701,0.18,0.18,OK,0
1.476961254,1.076961254,37.86195449,45.14209498,6.680247634,0.008153302,55.23733838,2,Internal,2070.910086,0.445557528,1.267016531,5.693877551,1122.018454,73.69410621,53.92047159,27.5,40.61643449,0.18,0.18,OK,0
1.35925027,1.15925027,39.9838676,30.74018896,7.916986129,0.001392434,99.50954597,1,Internal,8069.42976,3.913270371,13.06083857,13.67346939,22387.21139,46.60279572,52.76749941,49.7,67.5547384,0.18,0.18,OK,0
2.955902837,1.155902837,36.11394039,13.5909964,3.416273712,0.005367519,43.54181804,1,Internal,,,,,,,,,,,,FAILED,5
2.953263942,1.153263942,61.4012234,14.23176691,3.460028907,4.951263866,22.60756137,2,External,283.2014923,0.159103181,0.224936761,3.66893424,28.18382931,86.58383778,62.45943725,11.1,32.78122976,0.36,0.18,OK,0
1.363211922,1.163211922,46.9733959,11.14795991,7.380198972,0.00597538,36.68591293,1,Internal,2232.114725,8.362385614,19.16532639,12.20408163,5623.413252,58.02762613,50.79561744,18.3,24.94677816,1.26,0.72,OK,0
1.176862083,0.976862083,51.63188361,5.492561964,3.51157766,1.051942372,16.38468253,1,External,1832.375302,3.475030748,10.57694966,14.89795918,562.3413252,50.4579608,52.65294873,8.08,9.509045631,0.72,0.54,OK,0
2.715230559,0.915230559,36.75990314,21.90123287,1.845837459,0.006204521,13.23480464,0.5,Internal,,,,,,,,,,,,FAILED,5
1.26279339,1.06279339,46.77867004,43.71820782,3.252262245,0.001349513,37.29389632,2,Internal,11476.21466,4.648361765,11.79545263,13.67346939,2818.382931,47.99219965,62.64971384,18.6,23.48795706,0.54,0.36,OK,0
1.197995373,0.997995373,35.43085832,48.43633237,5.115386455,0.008578208,27.49420306,1,Internal,8884.279395,0.777979005,2.521518143,11.71428571,1995.262315,64.6345862,51.72918598,13.7,16.4125366,0.18,0.18,OK,0
1.309853663,1.109853663,69.39073734,72.8865349,1.164270067,2.054222417,49.01686638,1,External,1588235.552,561.9630112,1837.888663,21.26530612,316.227766,47.42027377,64.47205229,215,281.6185376,0.9,0.54,OK,2
1.375258158,0.975258158,69.25296829,84.41811145,3.783896824,2.103869428,25.59648881,0.5,External,763688.6125,40.13831413,115.7793434,21.65306122,79.43282347,46.49978468,68.47727663,37.9,52.1222842,0.36,0.18,OK,1
1.375072869,0.975072869,51.8774658,22.37226973,4.738455989,3.22752591,56.50266317,2,External,1209.059771,2.89285307,7.855523449,6.387755102,398.1071706,63.25659389,53.20864233,27,37.12696748,1.08,0.72,OK,0
2.883516224,1.083516224,50.95432255,58.773535,1.634585791,0.688806774,40.76917,0.5,External,394.7048195,0.070631576,0.136896546,1.537414966,707.9457844,69.50935719,55.33954248,19.9,57.38197286,0.18,0.18,OK,0
1.312218641,0.912218641,69.59021057,21.65637564,1.068644407,3.840485673,82.62216793,0.5,External,,,,,,,,,,,,FAILED,5
2.830155495,1.030155495,30.96117848,47.71155792,8.980123486,0.003348043,11.37740863,2,Internal,,,,,,,,,,,,FAILED,5
1.250311965,1.050311965,43.67927539,32.7133024,9.495024441,0.009498264,88.04790402,2,Internal,12711.43427,4.924426286,17.1064225,15.63265306,4466.835922,53.83536755,54.1688287,43.6,54.51360168,0.18,0.18,OK,0
1.472642253,1.072642253,41.46734083,10.7825159,8.300837591,0.008385755,66.33457031,0.5,Internal,582.7171922,0.618476421,1.792452473,6.387755102,4466.835922,59.07068014,46.24051636,32.5,47.86087323,0.18,0.18,OK,0
2.895445432,1.095445432,53.9158227,11.58932358,1.403112006,0.189286946,18.49986647,2,External,65.28975616,0.038797903,0.167857623,1.111111111,501.1872336,65.04728906,61.16546234,9.04,26.1748267,0.36,0.54,OK,0
1.121356595,0.921356595,66.89750622,7.210833895,4.25787393,1.481088396,20.63483449,0.5,External,,,,,,,,,,,,FAILED,5
1.288682854,1.088682854,30.78372653,23.80757143,9.708224964,0.005931747,48.11238481,2,Internal,3232.383542,1.029314888,3.26613912,10,10000,65.18959221,44.23926404,23.9,30.79952021,0.18,0.18,OK,0
1.519494327,1.119494327,55.00032898,60.15168117,4.468466429,2.853146792,31.47371738,2,External,1632486.909,78.19625732,427.09057,21.65306122,223.8721139,46.69195039,63.40607325,139,211.2097114,0.18,0.18,OK,2
2.921972628,1.121972628,52.06247738,90.74252613,3.02100949,4.149641584,38.80446409,2,External,754.2764553,0.0848091,0.161276608,1.963718821,158.4893192,76.92730754,57.02472416,19.1,55.8096772,0.18,0.18,OK,0
1.216760504,1.016760504,68.10763953,13.67223429,2.27725455,4.755303639,95.55464322,2,External,,,,,,,,,,,,FAILED,5
1.289551164,1.089551164,31.83408295,32.10984167,5.983327471,0.002914551,95.15750886,0.5,Internal,4743.386108,2.205683842,7.028511855,10.48979592,7079.457844,69.44933782,50.17829247,47.2,60.86681492,0.18,0.18,OK,0
1.327361831,0.927361831,69.48496417,99.61346799,1.223484619,3.711474228,59.13241931,2,External,,,,,,,,,,,,FAILED,5
1.390595583,1.190595583,45.23021263,32.81981285,1.910104085,0.001756961,73.08722183,1,Internal,15815.64755,4.945987437,17.61012084,16.6122449,3981.071706,50.39216047,56.58831757,37,51.45203658,0.18,0.18,OK,0
1.546558018,1.146558018,52.93209643,53.76598603,1.93291229,2.948396544,87.68246698,1,External,,,,,,,,,,,,FAILED,5
2.771005558,0.971005558,49.72002128,38.90201834,4.38633627,0.001751506,79.94322243,1,Internal,,,,,,,,,,,,FAILED,5
1.427266603,1.027266603,56.60505058,46.27292523,2.014728695,2.085490225,61.43257227,0.5,External,,,,,,,,,,,,FAILED,5
1.294763091,1.094763091,63.62078854,27.56311477,2.600891571,2.440802965,17.46021895,0.5,External,,,,,,,,,,,,FAILED,5
1.430900749,1.030900749,30.24308949,48.6445472,1.388439208,0.009020288,57.49309982,2,Internal,2046.097602,0.429551768,1.209143681,5.346938776,354.8133892,69.47342461,55.28643154,28.8,41.20994159,0.18,0.18,OK,0
2.722138969,0.922138969,43.90822246,8.394554619,2.495938887,0.002951282,36.50445522,0.5,Internal,,,,,,,,,,,,FAILED,5
2.909077517,1.109077517,68.02316021,9.317406132,2.123852758,4.757016272,90.12374055,0.5,External,364.8293214,1.24444941,1.764427924,5.800453515,22.38721139,87.9346241,68.04835995,43.7,127.1266875,0.36,0.18,OK,0
1.350903971,0.950903971,37.76536768,15.32276356,3.393441325,0.004243106,33.39548766,2,Internal,763.9508661,0.289971989,0.832503602,6.040816327,1778.27941,67.97234181,52.01584118,16.5,22.28991552,0.18,0.18,OK,0
1.109694785,0.909694785,36.19055233,41.62077589,7.162580553,0.002463552,91.9834466,0.5,Internal,7974.95411,2.709488616,8.812471054,11.95918367,10000,59.97210437,52.27194158,44.4,49.27044847,0.18,0.18,OK,0
1.384939974,1.184939974,42.26830392,23.82093663,9.39455635,0.008794575,14.06968031,2,Internal,5215.082128,0.961428908,3.68622096,12.69387755,3548.133892,46.45457408,54.48910322,7.09,9.819224416,0.36,0.36,OK,0
1.21293901,1.01293901,39.60740164,49.33787228,4.390650729,0.007746205,45.36905041,2,Internal,12372.60119,1.710577972,5.688664114,13.42857143,1778.27941,62.81954023,54.37942562,22.6,27.41242163,0.18,0.18,OK,0
1.270724441,1.070724441,59.3738632,44.40785272,2.093628288,0.376239934,87.82501386,0.5,External,,,,,,,,,,,,FAILED,5
1.599915302,1.199915302,68.26331505,60.58920557,3.904483376,3.80969789,44.00654943,0.5,External,,,,,,,,,,,,FAILED,5
1.161513599,0.961513599,49.08102055,32.27785855,3.05778525,0.007045306,65.63154164,2,Internal,35262.20195,8.861524537,35.84984846,19.55102041,1995.262315,46.74422161,57.28630567,32.7,37.98149467,0.18,0.18,OK,0
1.306655423,0.906655423,40.40615402,39.75432763,5.68147151,0.008669634,59.67161549,0.5,Internal,1982.041484,0.518126796,1.48753135,6.040816327,794.3282347,74.66855591,55.07339611,28.7,37.50101063,0.18,0.18,OK,0
1.362996081,1.162996081,41.79911794,26.60206852,4.784822008,0.008062014,67.54252213,2,Internal,8444.726865,3.153130695,10.72056015,14.65306122,2238.721139,57.46613115,54.34738833,33.9,46.20556714,0.18,0.18,OK,0
1.570945318,1.170945318,57.01175118,61.04218025,2.56897618,2.243627118,91.3742825,0.5,External,,,,,,,,,,,,FAILED,5
2.835273134,1.035273134,37.93085565,32.99390151,8.761273379,0.009545686,23.23661328,0.5,Internal,,,,,,,,,,,,FAILED,5
1.330675322,1.130675322,49.60065151,27.16781423,3.958764493,0.006700608,31.61310569,2,Internal,13858.48764,4.713214464,8.063030589,16.85714286,1412.537545,49.99062236,60.49566652,16,21.29080516,0.36,0.18,OK,0
2.738663917,0.938663917,61.69532212,43.02854645,3.790670295,0.982329635,72.68513196,0.5,External,1162.257498,0.385300926,0.981660393,4.52154195,354.8133892,52.85180742,63.2897875,34.4,94.21003873,0.18,0.18,OK,0
2.962295281,1.162295281,63.35115477,21.37038776,1.769156075,0.30025622,25.20415568,1,External,485159.1584,53.42397763,286.0974516,21.14739229,251.1886432,50.52053475,71.16267346,113,334.7393668,0.18,0.18,OK,2
1.309541404,0.909541404,52.41271742,48.77398296,1.825334874,1.884922319,55.30755438,0.5,External,,,,,,,,,,,,FAILED,5
1.111793642,0.911793642,59.62290788,70.33954812,3.046628054,0.869190645,43.95573687,0.5,External,601902.6192,68.77056296,188.0668405,21.51020408,398.1071706,47.28804119,60.90129767,64.2,71.37715181,0.36,0.18,OK,1
1.360490332,1.160490332,41.94556165,49.38156481,5.829315814,0.009316376,31.25048798,2,Internal,15675.99252,1.458886488,4.960175094,14.65306122,2238.721139,52.45306423,54.61070543,15.8,21.49574725,0.18,0.18,OK,0
1.238760415,1.038760415,31.24682725,11.64825914,2.198052357,0.00718449,85.99966054,2,Internal,1649.356124,1.915121254,6.088638015,10.24489796,1000,71.61822199,49.62002987,42.5,52.64731763,0.18,0.18,OK,0
1.309141646,0.909141646,58.94824734,55.59864031,1.969882015,1.419291832,43.95557468,1,External,,,,,,,,,,,,FAILED,5
2.79662375,0.99662375,51.78408657,55.85687858,1.932865646,1.780341635,52.65729473,1,External,600.2938283,0.140417563,0.282953952,2.390022676,223.8721139,73.25558609,58.79690135,25.2,70.47491849,0.18,0.18,OK,0
1.494646852,1.094646852,51.73840576,56.02512147,3.347364472,3.752653424,48.84935916,2,External,,,,,,,,,,,,FAILED,5
1.385132772,0.985132772,47.99294794,32.339985,3.199178399,0.005484229,39.73136332,0.5,Internal,2911.826649,0.583377575,1.78866568,8.816326531,891.2509381,64.43984247,59.13011642,19.7,27.2871156,0.18,0.18,OK,0
1.102260309,0.902260309,53.05718278,28.3659842,1.642725493,1.014178418,35.65856518,2,External,,,,,,,,,,,,FAILED,5
1.301590002,0.901590002,35.15805654,12.68994143,7.017788979,0.009364384,60.10866037,1,Internal,685.7997811,0.560428581,1.624219715,6.387755102,4466.835922,50.63423394,49.17742778,28.4,36.96515605,0.18,0.18,OK,0
1.351574768,1.151574768,53.74087497,35.74952746,2.701745754,2.587290856,31.81687592,2,External,,,,,,,,,,,,FAILED,5
1.483186013,1.083186013,61.62476443,19.66445795,2.924560407,2.70968822,14.66411831,1,External,,,,,,,,,,,,FAILED,5
2.740324403,0.940324403,40.9784396,14.0778708,7.161143931,0.001790813,22.49422961,0.5,Internal,,,,,,,,,,,,FAILED,5
2.735008819,0.935008819,59.43152377,44.12488684,2.395473066,4.654692807,84.7557467,1,External,1926.879169,0.658732649,1.850589253,6.22675737,89.12509381,68.8863723,66.09806235,40.3,110.2208554,0.18,0.18,OK,0
2.97988142,1.17988142,48.76680914,13.15548798,1.598466406,0.007670086,61.70258019,0.5,Internal,141.3820185,0.164538,0.331558789,2.390022676,446.6835922,46.89178152,60.86225625,31.6,94.16425288,0.18,0.18,OK,0
1.348382266,1.148382266,34.0325464,12.36451743,2.478392181,0.008331172,69.86774986,1,Internal,2079.219037,1.825337143,5.874485454,11.2244898,1122.018454,69.32689225,50.56707241,34.9,47.05854109,0.18,0.18,OK,0
1.207649145,1.007649145,41.76613352,35.73419285,5.067537412,0.007424042,90.97007008,0.5,Internal,11343.68548,4.246813878,14.43905376,14.65306122,2511.886432,58.13871826,54.88351323,45,54.34421154,0.18,0.18,OK,0
2.861934319,1.061934319,40.0544078,15.44957128,9.096171159,0.004455021,58.9197575,2,Internal,,,,,,,,,,,,FAILED,5
1.335069412,0.935069412,56.65631572,74.402168,3.77487043,0.916980724,89.07662038,0.5,External,,,,,,,,,,,,FAILED,5
2.922438273,1.122438273,45.77194422,11.82536959,3.80549861,0.003236402,76.95516633,1,Internal,79.41551192,0.133322917,0.258403506,1.537414966,1258.925412,45.54945885,59.5309779,38,111.0526544,0.18,0.18,OK,0
1.470966905,1.070966905,39.87962974,38.95858813,1.926244277,0.005828332,44.0939409,0.5,Internal,1942.368101,0.382866328,1.099201336,6.040816327,398.1071706,76.48821979,56.00184612,22.2,32.6554653,0.18,0.18,OK,0
2.881187362,1.081187362,45.94590732,11.74628423,3.063262557,0.007500273,74.80328829,2,Internal,97.63829607,0.163486333,0.310892597,1.963718821,630.9573445,45.10808922,59.22779147,37.1,106.8920511,0.18,0.18,OK,0
1.508184533,1.108184533,55.03598118,37.84111938,1.726390867,4.551407751,62.50526153,2,External,,,,,,,,,,,,FAILED,5
2.786378885,0.986378885,53.06702806,60.69183404,3.023554716,3.096125754,11.62991654,2,External,407.5875205,0.029074159,0.039051455,1.537414966,158.4893192,59.53034319,59.7600869,5.43,15.13003735,0.36,0.18,OK,0
1.130663799,0.930663799,48.44998762,36.82573854,2.372851386,0.006186595,64.60435417,1,Internal,34060.38738,7.647761147,29.87651323,19.06122449,1584.893192,48.34276356,57.31966899,32.1,36.29430796,0.18,0.18,OK,0
1.320933271,1.120933271,68.51137026,47.82974028,1.452952183,4.925721875,85.50082778,1,External,,,,,,,,,,,,FAILED,5
2.976252565,1.176252565,56.22888528,26.60258398,3.431577575,1.958597922,76.98246867,1,External,285.8979483,0.205283821,0.413665264,2.390022676,100,87.78818058,57.20708987,37.6,111.9070964,0.18,0.18,OK,0
1.536336967,1.136336967,36.66998343,22.91759121,5.836560426,0.009278701,41.17113949,1,Internal,1051.352862,0.332096217,0.944370526,5.693877551,1412.537545,68.55476327,50.97700894,20.6,31.64854151,0.18,0.18,OK,0
1.321250374,1.121250374,61.74136448,8.120433673,4.650997852,1.31630957,61.98687587,1,External,,,,,,,,,,,,FAILED,5
1.37445377,1.17445377,65.60991415,31.3707814,1.880388856,1.142135843,56.36563142,0.5,External,,,,,,,,,,,,FAILED,5
1.437696696,1.037696696,47.21264036,29.07813735,2.660165843,0.003696363,37.89432336,1,Internal,2443.653476,0.523111447,1.592271779,8.469387755,1122.018454,66.3787055,58.75137296,19,27.31623723,0.18,0.18,OK,0
2.828036672,1.028036672,56.98773998,49.4820237,3.499903948,1.950857142,85.2908332,2,External,823.0462167,0.313455219,0.709331312,3.242630385,199.5262315,76.60989771,60.12235567,40.7,115.1010925,0.18,0.18,OK,0
2.788213404,0.988213404,39.06577669,28.59756212,4.966864722,0.004606868,60.36762982,2,Internal,,,,,,,,,,,,FAILED,5
1.154578439,0.954578439,31.51006728,38.89607993,3.450716692,0.009076874,57.392062,0.5,Internal,5507.560133,1.278060368,4.063265928,10.24489796,891.2509381,74.03178256,51.47514333,28.3,32.67456983,0.18,0.18,OK,0
